date,open_etf,close_etf,high_etf,low_etf,volume_etf,turnover,amplitude,pct_change,chg,turnover_rate,open_fut,high_fut,low_fut,close_fut,volume_fut,open_interest
2025-02-24,114.78,114.36,114.834,114.266,367414,4210543441.0,0.49,-0.49,-0.563,8.06,108.145,108.27,107.68,107.875,4641,8065
2025-02-25,114.58,114.289,114.622,113.952,540820,6177454802.0,0.59,-0.06,-0.071,11.86,108.05,108.245,107.565,108.09,5859,8775
2025-02-26,114.5,114.444,114.618,114.439,540784,6192616502.0,0.16,0.14,0.155,11.86,108.17,108.47,108.12,108.21,7218,10478
2025-02-27,114.424,114.223,114.455,114.191,546365,6248217911.0,0.23,-0.19,-0.221,11.98,108.21,108.31,108.005,108.1,4570,11539
2025-02-28,114.358,114.369,114.395,114.12,361966,4134698805.0,0.24,0.13,0.146,7.94,108.14,108.32,107.945,108.285,5631,12060
2025-03-03,114.376,114.559,114.588,114.266,645366,7379125888.0,0.28,0.17,0.19,14.15,108.28,108.57,108.19,108.495,5589,12337
2025-03-04,114.706,114.539,114.769,114.456,502785,5760666428.0,0.27,-0.02,-0.02,11.03,108.575,108.65,108.315,108.425,4387,12562
2025-03-05,114.603,114.595,114.69,114.548,533131,6110144024.0,0.12,0.05,0.056,11.69,108.495,108.58,108.425,108.53,2912,12710
2025-03-06,114.556,114.295,114.556,114.277,594772,6801117559.0,0.24,-0.26,-0.3,13.04,108.43,108.435,108.175,108.27,3408,12623
2025-03-07,114.28,113.818,114.28,113.741,527750,6010268490.0,0.47,-0.42,-0.477,11.57,108.035,108.065,107.565,107.615,6992,12953
2025-03-10,113.528,113.728,113.922,113.523,636035,7239870308.0,0.35,-0.08,-0.09,13.95,107.57,107.825,107.51,107.685,2947,12930
2025-03-11,113.588,113.103,113.68,113.074,506932,5743038907.0,0.53,-0.55,-0.625,11.12,107.645,107.66,107.215,107.245,3598,13253
2025-03-12,113.07,113.344,113.387,112.728,620415,7015266112.0,0.58,0.21,0.241,13.61,107.145,107.71,107.025,107.655,5636,13442
2025-03-13,113.329,113.549,113.609,113.164,568373,6451003564.0,0.39,0.18,0.205,12.46,107.56,107.77,107.535,107.62,3445,13426
2025-03-14,113.37,113.437,113.61,113.156,520247,5897712710.0,0.4,-0.1,-0.112,11.41,107.505,107.74,107.34,107.565,4364,13453
2025-03-17,113.215,112.938,113.31,112.9,437795,4953066132.0,0.36,-0.44,-0.499,9.6,107.315,107.475,107.035,107.05,4905,13907
2025-03-18,112.995,112.967,113.098,112.818,622122,7030914071.0,0.25,0.03,0.029,13.64,107.14,107.34,107.05,107.17,4570,14170
2025-03-19,113.163,112.991,113.183,112.984,410326,4639021148.0,0.18,0.02,0.024,9.0,107.3,107.365,107.12,107.185,3038,14214
2025-03-20,113.29,113.495,113.598,113.288,571489,6481446872.0,0.27,0.45,0.504,12.53,107.4,107.56,107.365,107.475,3253,14515
2025-03-21,113.64,113.581,113.657,113.443,560402,6362523862.0,0.19,0.08,0.086,12.29,107.475,107.52,107.3,107.37,4189,15009
2025-03-24,113.458,113.489,113.558,113.325,508408,5770160374.0,0.21,-0.08,-0.092,11.15,107.33,107.55,107.22,107.53,4075,15126
2025-03-25,113.813,113.739,113.911,113.647,483550,5499985711.0,0.23,0.22,0.25,10.6,107.705,107.81,107.59,107.615,3236,14959
2025-03-26,113.695,113.875,113.882,113.605,418473,4759940542.0,0.24,0.12,0.136,9.18,107.58,107.9,107.55,107.9,2336,15199
2025-03-27,113.873,113.921,113.945,113.764,407752,4643262376.0,0.16,0.04,0.046,8.94,107.86,108.015,107.785,107.83,3805,15389
2025-03-28,113.798,113.743,113.942,113.739,529511,6028926828.0,0.18,-0.16,-0.178,11.61,107.805,108.08,107.805,107.915,5915,15719
2025-03-31,113.78,113.831,113.906,113.726,646358,7358818539.0,0.16,0.08,0.088,14.17,107.88,108.055,107.835,107.895,4176,16004
2025-04-01,113.99,114.017,114.06,113.929,596955,6805654958.0,0.12,0.16,0.186,13.09,107.92,107.98,107.77,107.795,2949,16289
2025-04-02,114.138,114.411,114.427,114.052,715591,8175029149.0,0.33,0.35,0.394,15.69,107.795,108.075,107.795,108.07,3737,16430
2025-04-03,114.88,115.0,115.027,114.619,783643,8999296261.0,0.36,0.51,0.589,17.18,108.35,108.655,108.32,108.61,6587,15896
2025-04-07,115.668,115.755,115.767,115.37,470120,5433178483.0,0.35,0.66,0.755,10.31,109.12,109.21,108.92,109.2,6686,15461
2025-04-08,115.346,115.296,115.468,115.279,501886,5790650111.0,0.16,-0.4,-0.459,11.01,109.1,109.155,108.94,108.945,5872,16721
2025-04-09,115.43,115.271,115.489,115.228,608053,7012101256.0,0.23,-0.02,-0.025,13.33,109.05,109.32,109.0,109.085,8472,16922
2025-04-10,115.155,115.241,115.255,114.8,471596,5424689001.0,0.39,-0.03,-0.03,10.34,108.99,109.215,108.845,109.07,6574,18017
2025-04-11,115.37,115.147,115.44,115.036,465983,5370983342.0,0.35,-0.08,-0.094,10.22,109.225,109.295,108.935,109.04,6676,18735
2025-04-14,115.075,115.14,115.18,114.978,568596,6544760812.0,0.18,-0.01,-0.007,12.47,108.925,109.145,108.88,109.145,5089,19599
2025-04-15,115.233,115.168,115.233,115.113,606255,6982247228.0,0.1,0.02,0.028,13.29,109.1,109.17,109.035,109.065,4324,20613
2025-04-16,115.3,115.289,115.374,115.22,529844,6109728870.0,0.13,0.11,0.121,11.62,109.155,109.305,109.015,109.235,11145,24744
2025-04-17,115.343,115.249,115.358,115.227,626832,7226147766.0,0.11,-0.03,-0.04,13.75,109.345,109.345,109.05,109.09,11917,28931
2025-04-18,115.243,115.194,115.281,115.077,772603,8898740454.0,0.18,-0.05,-0.055,16.94,109.15,109.2,109.02,109.145,8037,30626
2025-04-21,115.28,115.122,115.28,115.063,584893,6732948315.0,0.19,-0.06,-0.072,12.83,109.035,109.14,108.885,108.93,7506,31330
2025-04-22,115.267,115.251,115.267,115.154,596650,6874518859.0,0.1,0.11,0.129,13.08,108.98,109.1,108.98,109.1,5382,32354
2025-04-23,115.188,115.121,115.188,115.105,585675,6743149650.0,0.07,-0.11,-0.13,12.84,109.02,109.02,108.84,108.92,8679,33318
2025-04-24,115.188,115.064,115.237,115.06,575790,6629948379.0,0.15,-0.05,-0.057,12.63,108.925,109.065,108.84,108.845,9607,35883
2025-04-25,115.133,115.135,115.198,115.082,794097,9143553110.0,0.1,0.06,0.071,17.41,108.86,109.035,108.82,108.92,11001,37632
2025-04-28,115.249,115.211,115.268,115.149,514317,5926738345.0,0.1,0.07,0.076,11.28,109.0,109.095,108.87,109.01,10634,40352
2025-04-29,115.325,115.454,115.485,115.278,545067,6288406515.0,0.18,0.21,0.243,11.95,109.175,109.245,109.06,109.245,11868,45364
2025-04-30,115.486,115.579,115.584,115.4,383439,4428986015.0,0.16,0.11,0.125,8.41,109.21,109.25,109.1,109.145,10677,46932
2025-05-06,115.513,115.529,115.578,115.435,759816,8777368277.0,0.12,-0.04,-0.05,16.66,109.1,109.275,109.08,109.215,10311,50098
2025-05-07,115.588,115.411,115.588,115.387,822584,9496334269.0,0.17,-0.1,-0.118,18.04,109.135,109.275,108.935,109.02,26531,54128
2025-05-08,115.515,115.55,115.594,115.472,712618,8234166689.0,0.11,0.12,0.139,15.63,109.13,109.3,109.115,109.215,20546,62488
2025-05-09,115.654,115.664,115.699,115.61,820226,9486324483.0,0.08,0.1,0.114,17.99,109.27,109.345,109.165,109.215,22002,69213
2025-05-12,115.58,115.571,115.685,115.49,719694,8320209241.0,0.17,-0.08,-0.093,15.78,109.065,109.235,108.525,108.725,47986,77328
2025-05-13,115.246,115.417,115.462,115.16,958746,11065642395.0,0.26,-0.13,-0.154,21.02,108.79,108.9,108.745,108.89,43058,86981
2025-05-14,115.496,115.311,115.496,115.264,792553,9140987564.0,0.2,-0.09,-0.106,17.38,108.865,108.875,108.64,108.69,42711,94743
2025-05-15,115.381,115.323,115.387,115.283,706856,8152812972.0,0.09,0.01,0.012,15.5,108.74,108.74,108.57,108.695,38179,100297
2025-05-16,115.289,115.188,115.289,115.147,1025033,11806793655.0,0.12,-0.12,-0.135,22.48,108.61,108.69,108.48,108.65,51878,109113
2025-05-19,115.25,115.294,115.312,115.211,1190141,13718317893.0,0.09,0.09,0.106,26.1,108.64,108.84,108.635,108.83,60025,125036
2025-05-20,115.4,115.391,115.456,115.321,1238113,14285592402.0,0.12,0.08,0.097,27.15,108.885,108.945,108.78,108.84,76231,142998
2025-05-21,115.4,115.394,115.408,115.321,877709,10126742354.0,0.08,0.0,0.003,19.25,108.895,108.895,108.72,108.835,52668,149750
2025-05-22,115.4,115.399,115.456,115.385,594647,6863259823.0,0.06,0.0,0.005,13.04,108.84,108.96,108.77,108.815,65126,156071
2025-05-23,115.422,115.457,115.459,115.308,848662,9790823877.0,0.13,0.05,0.058,18.61,108.775,108.88,108.69,108.85,63496,163964
2025-05-26,115.5,115.483,115.521,115.457,625442,7223216278.0,0.06,0.02,0.026,13.72,108.89,108.935,108.825,108.855,52310,166526
2025-05-27,115.522,115.349,115.522,115.3,797635,9206733453.0,0.19,-0.12,-0.134,17.49,108.88,108.89,108.705,108.735,58575,165848
2025-05-28,115.362,115.36,115.367,115.281,668259,7707049592.0,0.07,0.01,0.011,14.65,108.7,108.785,108.635,108.73,49829,168138
2025-05-29,115.201,115.089,115.23,115.026,728628,8387102395.0,0.18,-0.23,-0.271,15.98,108.61,108.62,108.455,108.475,72334,166334
